"cluster_membership","lat_round","lon_round"
"10",41.571,-73.018
"19",41.814,-72.259
"19",41.814,-72.259
"19",41.814,-72.259
"10",41.594,-73.051
"3",41.02,-73.626
"7",41.334,-72.945
"7",41.334,-72.945
"8",41.893,-72.765
"8",41.893,-72.765
"2",41.893,-72.765
"14",41.788,-72.601
"14",41.788,-72.601
"8",41.788,-72.601
"14",41.788,-72.601
"14",41.788,-72.601
"8",41.788,-72.601
"14",41.864,-72.523
"14",41.864,-72.523
"14",41.864,-72.523
"20",41.639,-72.841
"20",41.639,-72.841
"20",41.639,-72.841
"2",41.639,-72.841
"20",41.639,-72.841
"20",41.639,-72.841
"10",41.571,-73.018
"10",41.571,-73.018
"10",41.571,-73.018
"10",41.571,-73.018
"1",42.009,-73.181
"1",42.009,-73.181
"1",42.009,-73.181
"1",41.928,-73.383
"1",41.928,-73.383
"1",41.928,-73.383
"5",41.682,-73.487
"5",41.682,-73.487
"5",41.682,-73.487
"13",41.652,-72.669
"13",41.652,-72.669
"13",41.652,-72.669
"16",41.542,-72.791
"16",41.542,-72.791
"16",41.542,-72.791
"8",41.727,-72.708
"8",41.727,-72.708
"8",41.727,-72.708
"8",41.727,-72.708
"8",41.727,-72.708
"8",41.727,-72.708
"1",41.966,-73.122
"1",41.966,-73.122
"1",41.966,-73.122
"16",41.537,-72.806
"16",41.537,-72.806
"16",41.537,-72.806
"15",41.632,-72.73
"13",41.632,-72.73
"15",41.632,-72.73
"15",41.632,-72.73
"13",41.632,-72.73
"15",41.632,-72.73
"16",41.573,-72.779
"16",41.573,-72.779
"16",41.573,-72.779
"16",41.573,-72.779
"16",41.573,-72.779
"16",41.573,-72.779
"13",41.514,-72.746
"13",41.514,-72.746
"16",41.514,-72.746
"13",41.559,-72.651
"13",41.559,-72.651
"13",41.559,-72.651
"13",41.559,-72.651
"13",41.559,-72.651
"13",41.559,-72.651
"19",41.936,-72.385
"14",41.936,-72.385
"14",41.936,-72.385
"15",41.626,-72.776
"15",41.626,-72.776
"15",41.626,-72.776
"2",41.855,-72.892
"2",41.855,-72.892
"2",41.855,-72.892
"14",41.966,-72.553
"14",41.966,-72.553
"14",41.966,-72.553
