cluster_membership,lat_round,lon_round,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
10,41.571,-73.018,14,14,1,17,6,18,5,18,11,4,10,2,13,1,1,7
19,41.814,-72.259,18,13,17,6,7,15,13,2,10,16,16,18,14,18,2,8
19,41.814,-72.259,18,13,17,6,3,7,13,0,0,1,6,15,11,17,17,8
19,41.814,-72.259,18,13,17,6,7,15,2,8,9,1,6,15,11,17,17,8
10,41.594,-73.051,3,2,11,4,8,1,19,6,19,4,10,2,13,1,11,12
3,41.02,-73.626,0,15,6,5,11,16,11,14,15,3,9,12,6,15,7,11
7,41.334,-72.945,4,5,13,10,6,4,0,4,18,18,8,17,15,19,18,17
7,41.334,-72.945,4,5,13,10,15,19,7,19,1,9,14,19,1,8,8,17
8,41.893,-72.765,10,7,7,12,17,9,9,3,2,19,19,13,18,13,0,10
8,41.893,-72.765,10,16,16,9,4,14,17,17,6,15,13,7,9,14,4,10
2,41.893,-72.765,10,16,16,9,4,2,10,17,6,13,7,7,14,0,14,10
14,41.788,-72.601,11,0,14,2,1,15,2,0,0,1,6,5,11,17,14,4
14,41.788,-72.601,11,16,4,16,1,2,10,17,10,13,13,18,14,18,14,4
8,41.788,-72.601,11,10,14,2,4,2,10,17,6,15,13,16,4,10,10,4
14,41.788,-72.601,11,0,17,6,7,7,13,2,10,1,6,18,11,17,17,4
14,41.788,-72.601,11,16,16,9,4,14,17,17,6,15,13,16,4,10,10,4
8,41.788,-72.601,11,16,16,9,7,2,2,2,9,13,7,1,0,0,17,4
14,41.864,-72.523,11,16,16,9,4,2,10,17,10,13,16,18,3,18,14,8
14,41.864,-72.523,11,16,4,6,7,15,2,0,0,1,7,18,0,18,14,8
14,41.864,-72.523,11,16,16,9,7,7,3,16,3,16,2,5,3,9,2,8
20,41.639,-72.841,14,14,1,17,6,18,5,18,14,17,0,10,8,3,6,18
20,41.639,-72.841,14,14,1,17,8,18,5,12,19,4,10,2,13,3,1,18
20,41.639,-72.841,14,14,1,17,17,9,9,3,2,19,19,2,18,13,0,18
2,41.639,-72.841,14,14,19,18,18,18,5,12,14,17,0,2,8,3,1,18
20,41.639,-72.841,14,14,1,18,18,6,2,8,9,10,17,1,15,11,18,18
20,41.639,-72.841,14,14,1,17,18,18,5,12,14,17,0,2,13,1,11,18
10,41.571,-73.018,14,14,11,17,18,18,5,12,14,17,0,10,8,3,1,7
10,41.571,-73.018,14,3,1,17,6,18,5,18,11,10,17,6,12,5,17,7
10,41.571,-73.018,14,3,1,18,10,6,0,12,11,17,0,10,8,3,1,7
10,41.571,-73.018,14,2,11,17,6,18,5,3,14,17,0,10,8,3,1,7
1,42.009,-73.181,12,6,0,15,0,12,1,15,12,0,5,13,18,13,0,5
